DocType: Accounting Period,Period Name,Nama Periode
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Assigning Structures...,Menerapkan Struktur...
DocType: Stock Reconciliation Item,Current Qty,Qty Berjalan
DocType: Restaurant Menu,Restaurant Menu,Menu Restoran
apps/erpnext/erpnext/public/js/event.js,Add Suppliers,Tambah Pemasok
DocType: Sales Invoice,ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
DocType: Loyalty Program,Help Section,Bagian Bantuan
apps/erpnext/erpnext/www/all-products/index.html,Prev,Sebelumnya
DocType: Appraisal Goal,Key Responsibility Area,Area Tanggungjawab Utama
DocType: Delivery Trip,Distance UOM,SU Jarak
apps/erpnext/erpnext/utilities/activation.py,"Student Batches help you track attendance, assessments and fees for students","Batch Student membantu anda melacak kehadiran, penilaian dan biaya untuk siswa"
DocType: Payment Entry,Total Allocated Amount,Jumlah Total Dialokasikan
apps/erpnext/erpnext/setup/doctype/company/company.py,Set default inventory account for perpetual inventory,Tetapkan akun persediaan standar untuk persediaan perpetual
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}","Tidak bisa mengirim No.Seri {0} untuk item {1} karena dicadangkan untuk \ mengisi Order Penjualan {2}
DocType: Material Request Plan Item,Material Request Type,Jenis Permintaan Material
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.js,Send Grant Review Email,Kirim Email Peninjauan Donasi
apps/erpnext/erpnext/accounts/page/pos/pos.js,LocalStorage is full"
DocType: Material Request Plan Item,Material Request Type,Jenis Permintaan Material
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.js,Send Grant Review Email,Kirim Email Peninjauan Donasi
apps/erpnext/erpnext/accounts/page/pos/pos.js,"LocalStorage is full, did not save",LocalStorage penuh; tidak bisa menyimpan
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}: UOM Conversion Factor is mandatory,Baris {0}: Faktor Konversi SU adalah wajib
DocType: Employee Benefit Claim,Claim Date,Tanggal Klaim
apps/erpnext/erpnext/utilities/user_progress.py,Room Capacity,Kapasitas Kamar
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Asset Account cannot be blank,Akun Aset bidang tidak boleh kosong
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Already record exists for the item {0},Sudah ada catatan untuk item {0}
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Ref,Ref
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,You will lose records of previously generated invoices. Are you sure you want to restart this subscription?,Anda akan kehilangan rekaman faktur yang dibuat sebelumnya. Anda yakin ingin memulai ulang langganan ini?
DocType: Lab Test,LP-,LP-
DocType: Healthcare Settings,Registration Fee,Biaya pendaftaran
DocType: Loyalty Program Collection,Loyalty Program Collection,Koleksi Program Loyalitas
DocType: Stock Entry Detail,Subcontracted Item,Item Subkontrak
apps/erpnext/erpnext/education/__init__.py,Student {0} does not belong to group {1},Siswa {0} bukan milik kelompok {1}
DocType: Budget,Cost Center,Pusat Biaya
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Voucher #,Voucher #
DocType: Tax Rule,Shipping Country,Negara Pengiriman
DocType: Selling Settings,Hide Customer's Tax Id from Sales Transactions,Sembunyikan NPWP Nasabah pada Transaksi Penjualan
DocType: Upload Attendance,Upload HTML,Unggah HTML
DocType: Employee,Relieving Date,Menghilangkan Tanggal
DocType: Purchase Invoice,Total Quantity,Jumlah total
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","Aturan Harga dibuat untuk menggantikan Daftar Harga / mendefinisikan persentase diskon, berdasarkan beberapa kriteria."
apps/erpnext/erpnext/support/doctype/issue/issue.py,Service Level Agreement has been changed to {0}.,Perjanjian Tingkat Layanan telah diubah menjadi {0}.
DocType: Serial No,Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Gudang hanya dapat diubah melalui Entri Persediaan / Nota Pengiriman / Nota Pembelian
DocType: Employee Education,Class / Percentage,Kelas / Persentase
DocType: Shopify Settings,Shopify Settings,Pengaturan Shopify
DocType: Amazon MWS Settings,Market Place ID,ID Market Place
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Head of Marketing and Sales,Kepala Pemasaran dan Penjualan
DocType: Video,Vimeo,Vimeo
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Income Tax,Pajak Penghasilan
DocType: HR Settings,Check Vacancies On Job Offer Creation,Lihat Lowongan Penciptaan Tawaran Kerja
apps/erpnext/erpnext/utilities/user_progress.py,Go to Letterheads,Pergi ke kop surat
DocType: Subscription,Cancel At End Of Period,Batalkan Pada Akhir Periode
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Property already added,Properti sudah ditambahkan
DocType: Item Supplier,Item Supplier,Pemasok Item
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please enter Item Code to get batch no,Masukkan Kode Item untuk mendapatkan nomor batch
apps/erpnext/erpnext/public/js/utils.js,Loyalty Points: {0},Poin Loyalitas: {0}
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js,Please select a value for {0} quotation_to {1},Silakan pilih nilai untuk {0} quotation_to {1}
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items selected for transfer,Tidak ada item dipilih untuk transfer
apps/erpnext/erpnext/config/buying.py,All Addresses.,Semua Alamat
DocType: Company,Stock Settings,Pengaturan Persediaan
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company","Penggabungan hanya bisa jika properti berikut sama di kedua data. Adalah Kelompok, Jenis Akun Dasar, Perusahaan"
DocType: Vehicle,Electric,Listrik
DocType: Task,% Progress,% Selesai
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Gain/Loss on Asset Disposal,Laba/Rugi Penghapusan Aset
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.js,"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",Hanya Pelamar Siswa dengan status  Disetujui  yang akan dipilih dalam tabel di bawah ini.
DocType: Tax Withholding Category,Rates,Tarif
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].py,Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Nomor akun untuk akun {0} tidak tersedia. <br> Harap atur bagan akun anda dengan benar.
DocType: Task,Depends on Tasks,Tergantung pada Tugas
apps/erpnext/erpnext/config/crm.py,Manage Customer Group Tree.,Kelola Pohon Kelompok Pelanggan.
DocType: Normal Test Items,Result Value,Nilai Hasil
DocType: Hotel Room,Hotels,Hotel
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,New Cost Center Name,Nama Biaya Pusat Baru
DocType: Leave Control Panel,Leave Control Panel,Cuti Control Panel
DocType: Project,Task Completion,tugas Penyelesaian
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,Not in Stock,Tidak Tersedia
DocType: Volunteer,Volunteer Skills,Keterampilan Relawan
DocType: Additional Salary,HR User,HR Pengguna
DocType: Bank Guarantee,Reference Document Name,Nama Dokumen Referensi
DocType: Purchase Invoice,Taxes and Charges Deducted,Pajak dan Biaya Dikurangi
DocType: Support Settings,Issues,Masalah
DocType: Loyalty Program,Loyalty Program Name,Nama Program Loyalitas
apps/erpnext/erpnext/controllers/status_updater.py,Status must be one of {0},Status harus salah satu dari {0}
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Reminder to update GSTIN Sent,Pengingat untuk memperbarui GSTIN Terkirim
DocType: Discounted Invoice,Debit To,Debet Untuk
DocType: Restaurant Menu Item,Restaurant Menu Item,Item Menu Restoran
DocType: Delivery Note,Required only for sample item.,Diperlukan hanya untuk item sampel.
DocType: Stock Ledger Entry,Actual Qty After Transaction,Jumlah Aktual Setelah Transaksi
,Pending SO Items For Purchase Request,Item SO Tertunda Untuk Permintaan Pembelian
apps/erpnext/erpnext/education/doctype/student_admission/student_admission.py,Student Admissions,Penerimaan Siswa
DocType: Supplier,Billing Currency,Valuta Penagihan
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Extra Large,Ekstra Besar
DocType: Loan,Loan Application,Pengajuan Pinjaman
DocType: Crop,Scientific Name,Nama Ilmiah
DocType: Healthcare Service Unit,Service Unit Type,Jenis Unit Layanan
DocType: Bank Account,Branch Code,Kode Cabang
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Leaves,Total Cuti
DocType: Customer,"Reselect, if the chosen contact is edited after save","Pilih ulang, jika kontak yang dipilih diedit setelah disimpan"
DocType: Quality Procedure,Parent Procedure,Prosedur Induk
DocType: Patient Encounter,In print,Tercetak
DocType: Accounting Dimension,Accounting Dimension,Dimensi Pembukuan
,Profit and Loss Statement,Laporan Laba Rugi
DocType: Bank Reconciliation Detail,Cheque Number,Nomor Cek
apps/erpnext/erpnext/healthcare/utils.py,The item referenced by {0} - {1} is already invoiced,Item yang direferensikan oleh {0} - {1} sudah ditagih
,Sales Browser,Browser Penjualan
DocType: Journal Entry,Total Credit,Jumlah Kredit
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Warning: Another {0} # {1} exists against stock entry {2},Peringatan: Ada {0} # {1} lain terhadap entri persediaan {2}
apps/erpnext/erpnext/utilities/user_progress_utils.py,Local,Lokal
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans and Advances (Assets),Pinjaman dan Uang Muka (Aset)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Debtors,Debitur
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Large,Besar
DocType: Bank Statement Settings,Bank Statement Settings,Pengaturan Rekening Koran Bank
DocType: Shopify Settings,Customer Settings,Pengaturan Pelanggan
DocType: Homepage Featured Product,Homepage Featured Product,Homepage Produk Pilihan
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,View Orders,Lihat Pesanan
DocType: Marketplace Settings,Marketplace URL (to hide and update label),URL Marketplace (untuk menyembunyikan dan memperbarui label)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,All Assessment Groups,Semua Kelompok Assessment
apps/erpnext/erpnext/regional/india/utils.py,{} is required to generate e-Way Bill JSON,{} harus diisi untuk menghasilkan Bill JSON e-Way
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,New Warehouse Name,Gudang baru Nama
DocType: Shopify Settings,App Type,Jenis Aplikasi
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,Total {0} ({1}),Total {0} ({1})
DocType: C-Form Invoice Detail,Territory,Wilayah
DocType: Pricing Rule,Apply Rule On Item Code,Terapkan Aturan Pada Item Kode
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please mention no of visits required,Harap sebutkan jumlah kunjungan yang diperlukan
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Stock Balance Report,Laporan Neraca Persediaan
DocType: Stock Settings,Default Valuation Method,Metode Valuasi Standar
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Fee,Biaya
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,Show Cumulative Amount,Tampilkan Jumlah Kumulatif
apps/erpnext/erpnext/setup/doctype/company/company.js,Update in progress. It might take a while.,Perbaruan sedang berlangsung. Mungkin perlu beberapa saat.
DocType: Production Plan Item,Produced Qty,Diproduksi Qty
DocType: Vehicle Log,Fuel Qty,Qty BBM
DocType: Work Order Operation,Planned Start Time,Rencana Waktu Mulai
DocType: Course,Assessment,Pengujian
DocType: Payment Entry Reference,Allocated,Dialokasikan
apps/erpnext/erpnext/config/accounting.py,Close Balance Sheet and book Profit or Loss.,Tutup Neraca dan Perhitungan Laba Rugi atau buku.
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,ERPNext could not find any matching payment entry,Tidak bisa menemukan entri pembayaran yang cocok
DocType: Student Applicant,Application Status,Status Pendaftaran
DocType: Additional Salary,Salary Component Type,Jenis Komponen Gaji
DocType: Sensitivity Test Items,Sensitivity Test Items,Item Uji Kepekaan
DocType: Website Attribute,Website Attribute,Atribut Situs Web
DocType: Project Update,Project Update,Pembaruan Proyek
DocType: Fees,Fees,biaya
DocType: Currency Exchange,Specify Exchange Rate to convert one currency into another,Tentukan Nilai Tukar untuk mengkonversi satu Valuta ke yang lain
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Quotation {0} is cancelled,Quotation {0} dibatalkan
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Total Outstanding Amount,Jumlah Total Outstanding
DocType: Sales Partner,Targets,Target
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].js,Please register the SIREN number in the company information file,Silakan daftar nomor SIREN di file informasi perusahaan
DocType: Quality Action Table,Responsible,Bertanggung-jawab
DocType: Email Digest,Sales Orders to Bill,Order Penjualan untuk Ditagih
DocType: Price List,Price List Master,Daftar Harga Utama
DocType: GST Account,CESS Account,Akun CESS
DocType: Sales Person,All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Semua Transaksi Penjualan dapat ditag terhadap beberapa **Penjual** sehingga anda dapat mengatur dan memantau target.
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Link to Material Request,Tautan ke Permintaan Material
DocType: Quiz,Score out of 100,Skor dari 100
apps/erpnext/erpnext/templates/pages/help.html,Forum Activity,Kegiatan Forum
DocType: Quiz,Grading Basis,Dasar Pemeringkatan
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,S.O. No.,SO No
DocType: Bank Statement Transaction Settings Item,Bank Statement Transaction Settings Item,Item Pengaturan Transaksi Rekening Koran Bank
apps/erpnext/erpnext/hr/utils.py,To date can not greater than employee's relieving date,Tanggal Akhir tidak bisa setelah tanggal pelepasan karyawan
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Please create Customer from Lead {0},Silakan membuat Pelanggan dari Prospek {0}
apps/erpnext/erpnext/healthcare/page/patient_history/patient_history.html,Select Patient,Pilih pasien
DocType: Price List,Applicable for Countries,Berlaku untuk Negara
DocType: Supplier Scorecard Scoring Variable,Parameter Name,Nama Parameter
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Hanya Pengajuan Cuti berstatus 'Disetujui' dan 'Ditolak' yang dapat dimasukkan
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.py,Creating Dimensions...,Membuat Dimensi...
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Student Group Name is mandatory in row {0},Siswa Nama Kelompok adalah wajib berturut-turut {0}
DocType: Homepage,Products to be shown on website homepage,Produk yang akan ditampilkan pada homepage website
DocType: HR Settings,Password Policy,Kebijakan Kata Sandi
apps/erpnext/erpnext/setup/doctype/customer_group/customer_group.js,This is a root customer group and cannot be edited.,Ini adalah kelompok pelanggan paling dasar dan tidak bisa diedit.
DocType: Student,AB-,AB-
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty must be greater than zero,Total jumlah yang diselesaikan harus lebih besar dari nol
DocType: Budget,Action if Accumulated Monthly Budget Exceeded on PO,Tindakan jika Akumulasi Anggaran Bulanan Melebihi pada PO
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Place,Meletakkan
DocType: Stock Entry,Stock Entry (Outward GIT),Entri Persediaan (GIT Keluar)
DocType: Exchange Rate Revaluation,Exchange Rate Revaluation,Revaluasi Nilai Tukar
DocType: POS Profile,Ignore Pricing Rule,Abaikan Aturan Harga
DocType: Employee Education,Graduate,Lulusan
DocType: Leave Block List,Block Days,Hari Blokir
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,"Shipping Address does not have country, which is required for this Shipping Rule","Alamat Pengiriman tidak memiliki negara, yang diperlukan untuk Aturan Pengiriman ini"
DocType: Journal Entry,Excise Entry,Cukai Entri
DocType: Bank,Bank Transaction Mapping,Pemetaan Transaksi Bank
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Peringatan: Order Penjualan {0} sudah ada untuk Order Pembelian Pelanggan {1}
DocType: Terms and Conditions,"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Syarat dan Ketentuan Standar yang dapat ditambahkan ke Penjualan dan Pembelian.   Contoh :   1. Validitas tawaran.  1. Termin Pembayaran (Bayar Dimuka, Secara Kredit, bayar dimuka sebagian, dll).  1. Apa yang ekstra (atau dibayar oleh Pelanggan).  1. Peringatan keamanan / penggunaan.  1. Garansi jika ada.  1. Kebijakan Retur.  1. Syarat pengiriman, jika berlaku.  1. Cara menangani sengketa, ganti rugi, kewajiban, dll.  1. Alamat dan Kontak Perusahaan anda."
DocType: Homepage Section,Section Based On,Bagian Berdasarkan
DocType: Shopping Cart Settings,Show Apply Coupon Code,Tampilkan Pakai Kode Kupon
DocType: Issue,Issue Type,Jenis Isu
DocType: Attendance,Leave Type,Jenis Cuti
DocType: Purchase Invoice,Supplier Invoice Details,Rincian Faktur Pemasok
DocType: Agriculture Task,Ignore holidays,Abaikan hari libur
apps/erpnext/erpnext/accounts/doctype/coupon_code/coupon_code.js,Add/Edit Coupon Conditions,Tambah/Edit Ketentuan Kupon
apps/erpnext/erpnext/controllers/stock_controller.py,Expense / Difference account ({0}) must be a 'Profit or Loss' account,Beban akun / Difference ({0}) harus akun 'Laba atau Rugi'
DocType: Stock Entry Detail,Stock Entry Child,Anak Entri Persediaan
DocType: Project,Copied From,Disalin Dari
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Invoice already created for all billing hours,Faktur sudah dibuat untuk semua jam penagihan
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Name error: {0},Kesalahan nama: {0}
DocType: Healthcare Service Unit Type,Item Details,Rincian Item
DocType: Cash Flow Mapping,Is Finance Cost,Adalah Biaya Keuangan
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance for employee {0} is already marked,Kehadiran karyawan {0} sudah ditandai
DocType: Packing Slip,If more than one package of the same type (for print),Jika lebih dari satu paket dari jenis yang sama (untuk mencetak)
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Please set default customer in Restaurant Settings,Harap tetapkan pelanggan standar di Pengaturan Restoran
,Salary Register,Daftar Gaji
DocType: Company,Default warehouse for Sales Return,Gudang Standar untuk Retur Penjualan
DocType: Pick List,Parent Warehouse,Gudang Induk
DocType: Subscription,Net Total,Jumlah Bersih
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Set item's shelf life in days, to set expiry based on manufacturing date plus shelf-life.","Tetapkan umur simpan item dalam beberapa hari, untuk menetapkan masa berlaku berdasarkan tanggal pembuatan ditambah umur simpan."
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Default BOM not found for Item {0} and Project {1},Standar BOM tidak ditemukan untuk Item {0} dan Project {1}
apps/erpnext/erpnext/regional/italy/utils.py,Row {0}: Please set the Mode of Payment in Payment Schedule,Baris {0}: Silakan tetapkan Cara Pembayaran dalam Jadwal Pembayaran
apps/erpnext/erpnext/config/non_profit.py,Define various loan types,Mendefinisikan berbagai jenis pinjaman
DocType: Bin,FCFS Rate,FCFS Tingkat
DocType: Bank Statement Transaction Invoice Item,Outstanding Amount,Jumlah belum terbayar
apps/erpnext/erpnext/templates/generators/bom.html,Time(in mins),Waktu (dalam menit)
DocType: Task,Working,Kerja
DocType: Stock Ledger Entry,Stock Queue (FIFO),Antrian Persediaan (FIFO)
DocType: Homepage Section,Section HTML,Bagian HTML
apps/erpnext/erpnext/public/js/setup_wizard.js,Financial Year,Tahun Keuangan
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,{0} does not belong to Company {1},{0} bukan milik Perusahaan {1}
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve criteria score function for {0}. Make sure the formula is valid.,Tidak bisa menjalankan kriteria fungsi skor untuk {0}. Pastikan rumusnya benar.
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost as on,Biaya pada
DocType: Healthcare Settings,Out Patient Settings,Keluar Pengaturan Pasien
DocType: Account,Round Off,Membulatkan
DocType: Service Level Priority,Resolution Time,Waktu Penyelesaian
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Quantity must be positive,Kuantitas harus positif
DocType: Job Card,Requested Qty,Diminta Qty
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The fields From Shareholder and To Shareholder cannot be blank,Bidang Dari Pemegang Saham dan Pemegang Saham tidak boleh kosong
DocType: Cashier Closing,Cashier Closing,Penutupan Kasir
DocType: Tax Rule,Use for Shopping Cart,Gunakan untuk Keranjang Belanja
DocType: Homepage,Homepage Slideshow,Tampilan Beranda Beranda
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select Serial Numbers,Pilih Nomor Seri
DocType: BOM Item,Scrap %,Scrap%
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,"Charges will be distributed proportionately based on item qty or amount, as per your selection","Biaya akan didistribusikan secara proporsional berdasarkan pada item qty atau jumlah, sesuai pilihan anda"
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Create Supplier Quotation,Buat Penawaran Pemasok
DocType: Travel Request,Require Full Funding,Perlu Pendanaan Penuh
DocType: Maintenance Visit,Purposes,Tujuan
DocType: Stock Entry,MAT-STE-.YYYY.-,MAT-STE-.YYYY.-
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Atleast one item should be entered with negative quantity in return document,Atleast satu item harus dimasukkan dengan kuantitas negatif dalam dokumen kembali
DocType: Shift Type,Grace Period Settings For Auto Attendance,Pengaturan Masa Tenggang Untuk Kehadiran Otomatis
apps/erpnext/erpnext/manufacturing/doctype/workstation/workstation.py,"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","Operasi {0} lebih lama daripada jam kerja yang tersedia di workstation {1}, memecah operasi menjadi beberapa operasi"
DocType: Membership,Membership Status,Status Keanggotaan
DocType: Travel Itinerary,Lodging Required,Perlu Penginapan
DocType: Promotional Scheme,Price Discount Slabs,Potongan Harga Diskon
DocType: Stock Reconciliation Item,Current Serial No,Nomor Seri Berjalan
DocType: Employee,Attendance and Leave Details,Rincian Kehadiran dan Cuti
,BOM Comparison Tool,Alat Perbandingan BOM
,Requested,Diminta
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,No Remarks,Tidak ada Keterangan
DocType: Asset,In Maintenance,Dalam perawatan
DocType: Amazon MWS Settings,Click this button to pull your Sales Order data from Amazon MWS.,Klik tombol ini untuk mengambil data Order Penjualan anda dari Amazon MWS.
DocType: Vital Signs,Abdomen,Abdomen
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.py,No outstanding invoices require exchange rate revaluation,Tidak ada faktur terutang yang perlu penilaian ulang nilai tukar
DocType: Purchase Invoice,Overdue,Terlambat
DocType: Account,Stock Received But Not Billed,Persediaan Diterima Tapi Tidak Ditagih
apps/erpnext/erpnext/accounts/doctype/account/account.py,Root Account must be a group,Akun Dasar harus kelompok
DocType: Drug Prescription,Drug Prescription,Resep Obat
DocType: Service Level,Support and Resolution,Dukungan dan Penyelesaian
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Free item code is not selected,Kode item gratis tidak dipilih
DocType: Loan,Repaid/Closed,Dilunasi/Ditutup
DocType: Amazon MWS Settings,CA,CA
DocType: Item,Total Projected Qty,Total Qty Proyeksi
DocType: Monthly Distribution,Distribution Name,Nama Distribusi
DocType: Chart of Accounts Importer,Chart Tree,Pohon Bagan
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Include UOM,Termasuk SU
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Material Request No,Permintaan Material No.
DocType: Service Level Agreement,Default Service Level Agreement,Perjanjian Tingkat Layanan Standar
DocType: SG Creation Tool Course,Course Code,Kode Kursus
apps/erpnext/erpnext/hr/utils.py,More than one selection for {0} not allowed,Lebih dari satu pilihan untuk {0} tidak diperbolehkan
DocType: Pick List,Qty of raw materials will be decided based on the qty of the Finished Goods Item,Jumlah bahan baku akan ditentukan berdasarkan jumlah Barang Jadi
DocType: Location,Parent Location,Lokasi Orangtua
DocType: POS Settings,Use POS in Offline Mode,Gunakan POS dalam Moda Offline
apps/erpnext/erpnext/support/doctype/issue/issue.py,Priority has been changed to {0}.,Prioritas telah diubah menjadi {0}.
apps/erpnext/erpnext/accounts/page/pos/pos.js,{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0} wajib. Mungkin data Nilai Tukar Uang tidak dibuat untuk {1} sampai {2}
DocType: Quotation,Rate at which customer's currency is converted to company's base currency,Tarif konversi valuta pelanggan menjadi valuta dasar perusahaan
DocType: Purchase Invoice Item,Net Rate (Company Currency),Tarif Neto (Valuta Perusahaan)
DocType: Salary Detail,Condition and Formula Help,Kondisi dan Rumus
apps/erpnext/erpnext/config/crm.py,Manage Territory Tree.,Kelola Pohon Wilayah.
apps/erpnext/erpnext/config/getting_started.py,Import Chart Of Accounts from CSV / Excel files,Impor Bagan Akun dari file CSV / Excel
DocType: Patient Service Unit,Patient Service Unit,Unit Layanan Pasien
DocType: Bank Statement Transaction Invoice Item,Sales Invoice,Faktur Penjualan
DocType: Journal Entry Account,Party Balance,Saldo Pihak
DocType: Cash Flow Mapper,Section Subtotal,Subtotal Bagian
apps/erpnext/erpnext/accounts/page/pos/pos.js,Please select Apply Discount On,Silakan pilih Terapkan Diskon Pada
DocType: Stock Settings,Sample Retention Warehouse,Gudang Penyimpanan Sampel
DocType: Company,Default Receivable Account,Akun Piutang Standar
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Projected Quantity Formula,Rumus Proyeksi Kuantitas
DocType: Sales Invoice,Deemed Export,Dianggap Ekspor
DocType: Pick List,Material Transfer for Manufacture,Transfer Material untuk Produksi
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Discount Percentage can be applied either against a Price List or for all Price List.,Prosentase Diskon dapat diterapkan untuk satu atau semua Daftar Harga.
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Accounting Entry for Stock,Entri Pembukuan untuk Persediaan
DocType: Lab Test,LabTest Approver,Pemberi Persetujuan LabTest
apps/erpnext/erpnext/education/doctype/assessment_plan/assessment_plan.py,You have already assessed for the assessment criteria {}.,Anda telah memberikan penilaian terhadap kriteria penilaian {}.
DocType: Vehicle Service,Engine Oil,Oli Mesin
